rule,antecedent,consequent,support,confidence,lift,support_count_xy,support_count_x,support_count_y
i25 i31 → i72,i25 i31,i72,0.005733,0.421569,1.768561,43,102,1788
i43 i99 → i72,i43 i99,i72,0.003200,0.421053,1.766396,24,57,1788
i110 i55 → i72,i110 i55,i72,0.003866,0.420290,1.763196,29,69,1788
i81 → i72,i81,i72,0.027596,0.419028,1.757904,207,494,1788
i15 i17 → i72,i15 i17,i72,0.004799,0.418605,1.756126,36,86,1788
i23 i49 → i72,i23 i49,i72,0.003733,0.417910,1.753214,28,67,1788
i88 → i72,i88,i72,0.007732,0.417266,1.750511,58,139,1788
i37 i49 → i72,i37 i49,i72,0.009065,0.417178,1.750141,68,163,1788
i25 i85 → i72,i25 i85,i72,0.002666,0.416667,1.747996,20,48,1788
i55 i59 → i72,i55 i59,i72,0.006666,0.416667,1.747996,50,120,1788
i55 → i72,i55,i72,0.040928,0.416554,1.747522,307,737,1788
i37 i45 → i72,i37 i45,i72,0.003600,0.415385,1.742617,27,65,1788
i104 → i72,i104,i72,0.003200,0.413793,1.735941,24,58,1788
i108 i37 → i72,i108 i37,i72,0.005066,0.413043,1.732796,38,92,1788
i17 i25 → i72,i17 i25,i72,0.005599,0.411765,1.727431,42,102,1788
i31 i49 → i72,i31 i49,i72,0.002800,0.411765,1.727431,21,51,1788
i55 i60 → i72,i55 i60,i72,0.002800,0.411765,1.727431,21,51,1788
i90 → i72,i90,i72,0.007732,0.411348,1.725681,58,141,1788
i108 i25 → i72,i108 i25,i72,0.005733,0.409524,1.718030,43,105,1788
i100 i115 → i72,i100 i115,i72,0.003600,0.409091,1.716214,27,66,1788
i23 i55 → i72,i23 i55,i72,0.003866,0.408451,1.713528,29,71,1788
i31 i65 → i72,i31 i65,i72,0.002666,0.408163,1.712323,20,49,1788
i31 i71 → i72,i31 i71,i72,0.004666,0.406977,1.707345,35,86,1788
i100 i57 → i72,i100 i57,i72,0.003733,0.405797,1.702396,28,69,1788
i107 → i72,i107,i72,0.005733,0.405660,1.701822,43,106,1788
i25 i37 → i72,i25 i37,i72,0.013465,0.405622,1.701663,101,249,1788
i100 i25 → i72,i100 i25,i72,0.015865,0.404762,1.698053,119,294,1788
i108 i15 → i72,i108 i15,i72,0.003333,0.403226,1.691609,25,62,1788
i100 i23 → i72,i100 i23,i72,0.006932,0.403101,1.691084,52,129,1788
i116 i15 → i72,i116 i15,i72,0.003600,0.402985,1.690599,27,67,1788
i100 i97 → i72,i100 i97,i72,0.008532,0.402516,1.688630,64,159,1788
i92 → i72,i92,i72,0.017064,0.401254,1.683336,128,319,1788
i100 i22 → i72,i100 i22,i72,0.002666,0.400000,1.678076,20,50,1788
i108 i31 → i72,i108 i31,i72,0.002666,0.400000,1.678076,20,50,1788
i23 i48 → i72,i23 i48,i72,0.002666,0.400000,1.678076,20,50,1788
