itemset,support_count,support
i100 i106 i72,22,0.002933
i100 i107 i25,21,0.002800
i100 i107 i55,23,0.003066
i100 i108 i110,22,0.002933
i100 i108 i116,23,0.003066
i100 i108 i17,26,0.003466
i100 i108 i23,22,0.002933
i100 i108 i25,37,0.004933
i100 i108 i37,27,0.003600
i100 i108 i43,27,0.003600
i100 i108 i48,21,0.002800
i100 i108 i49,50,0.006666
i100 i108 i54,27,0.003600
i100 i108 i55,42,0.005599
i100 i108 i71,44,0.005866
i100 i108 i72,70,0.009332
i100 i108 i81,33,0.004399
i100 i108 i82,25,0.003333
i100 i108 i97,30,0.003999
i100 i110 i15,24,0.003200
i100 i110 i25,26,0.003466
i100 i110 i37,39,0.005199
i100 i110 i43,22,0.002933
i100 i110 i49,22,0.002933
i100 i110 i54,23,0.003066
i100 i110 i55,22,0.002933
i100 i110 i71,36,0.004799
i100 i110 i72,48,0.006399
i100 i110 i81,20,0.002666
i100 i110 i82,28,0.003733
i100 i115 i71,30,0.003999
i100 i115 i72,27,0.003600
i100 i116 i15,23,0.003066
i100 i116 i25,31,0.004133
i100 i116 i37,21,0.002800
i100 i116 i43,24,0.003200
i100 i116 i49,24,0.003200
i100 i116 i55,22,0.002933
i100 i116 i71,28,0.003733
i100 i116 i72,47,0.006266
i100 i12 i72,20,0.002666
i100 i15 i17,20,0.002666
i100 i15 i25,48,0.006399
i100 i15 i37,54,0.007199
i100 i15 i43,42,0.005599
i100 i15 i49,27,0.003600
i100 i15 i54,36,0.004799
i100 i15 i55,41,0.005466
i100 i15 i65,20,0.002666
i100 i15 i71,48,0.006399
i100 i15 i72,49,0.006532
i100 i15 i81,21,0.002800
i100 i15 i82,33,0.004399
i100 i15 i97,21,0.002800
i100 i17 i25,39,0.005199
i100 i17 i37,36,0.004799
i100 i17 i43,27,0.003600
i100 i17 i49,25,0.003333
i100 i17 i54,22,0.002933
i100 i17 i55,28,0.003733
i100 i17 i71,31,0.004133
i100 i17 i72,53,0.007066
i100 i17 i81,23,0.003066
